nazwa;podmiot;bazyl;kod_kreskowy;klasyfikacja
DISOCOR;POLPHARMA;002560;05909990086917;C01BA
EFEROX 25;HEXAL;002799;05909990098712;H03AA
EFEROX 100;HEXAL;002805;05909990108923;H03AA
BENALAPRIL 10;BERLIN-CHEMIE;002900;05909990998531;C09AA
ENTEROSOL;PHYTOPHARM KL KA;002946;05909990009428;A07AX
ERVEVAX;SMITHKLINE BEECHAM;002980;05909990064618;J07BJ
EFEROX 150;HEXAL;002811;05909990125210;H03AA
EUGENOL;CHEMA-ELEKTROMET;003057;05909990645664;A01AD
FAMOGAST;POLPHARMA;003114;05909990014811;A02BA
EXTRACTUM THYMI FLUIDUM;PHYTOPHARM KL KA;003086;05909990216635;R05CA
DICLOBERL 75 MG/3 ML;BERLIN-CHEMIE;003142;05909991355869;M01AB
WODNY ROZTW”R FIOLETU GENCJANOWEGO 2%;GEMI;003231;05909990317035;D08AX
FENTANYL JANSSEN;JANSSEN-CILAG;003182;05909990127610;N02AB
FLUORMEX;CHEMA-ELEKTROMET;003340;05909990079018;A01AA
GAMMA-VENIN P;CENTEON;003511;05909990077618;J06BA
GASTRO;UNIA;003556;05909990239511;A02BX
FLUOROURACIL ACCORD;ACCORD HEALTHCARE;003344;05909990774791;L01BC
GENTAMYCIN;SOPHARMA;003612;05909990343416;J01GB
GILURYTMAL 10;SOLVAY;003645;05909990011711;C01BA
GUAJAZYL;ESPEFA;003793;05909990129119;R05CA
GYNO-PEVARYL 150 COMBIPACK;JANSSEN-CILAG;003817;05909990147212;G01AF
HISMANAL;JANSSEN-CILAG;004088;05909990127818;R06AX
PREGNYL;MERCK SHARP & DOHME;003772;05909991310677;G03GA
GROPRINOSIN;GEDEON RICHTER POLSKA;003787;05909990295562;J05AX
GROSEPTOL 120;GEDEON RICHTER POLSKA;003790;05909990118014;J01EE
MENOPUR;DELFARMA/FERRING;004152;05909997224305;G03GA
IGNATIA-DAGOMED 14 STRES;DAGOMED;004246;05909990049141;V03AX
EPIPEN SENIOR;MEDA;004326;05909990949441;C01CA
INHIBACE;ROCHE;004314;05909990131112;C09AA
IRUXOL MONO;SMITH & NEPHEW;004472;05909990015412;D03BA
ISOPRINOSINE;EWOPHARMA;004521;05909990280827;J05AX
TRAVOGEN;DELFARMA/BAYER;003821;05909997196589;D01AC
INJECTIO SOLUTIONIS RINGERI;BAXTER MANUFACTURING;004365;05909990222926;B05XA
ISO-MACK RETARD 40;MACK;004479;05909990181513;C01DA
ISOPTIN 80;MYLAN HEALTHCARE;004531;05909990100514;C08DA
ZEFADYM;ACTAVIS;004628;05909990717538;J01DD
KOSZYCZEK ARNIKI;HERBALUX;004886;05909990614264;M02AX
LOSAGEN;GENERICS;004420;05909990832903;C09CA
LAKCID L;POLPHARMA;004990;05909990733200;A07FA
LAKCID;POLPHARMA;004994;05909990641208;A07FA
ISO-MACK RETARD 60;MACK;004481;05909990181612;C01DA
SPIRYTUSOWY ROZTW”R JODU;GEMI;004578;05909990026951;D08AG
CEFAZOLIN HOSPIRA;HOSPIRA;004637;05909991185442;J01DB
LAXOPOL;UNIA;005043;05909990239719;A06AA
LIPANTHYL;FOURNIER;005185;05909990258611;C10AB
INJ. MAGNESII SULFURICI 25%;POLPHARMA;005479;05909990044627;V03AB
MAJAMIL;POLPHARMA;005499;05909990033522;M01AB
MARCAINE-ADRENALINE 0,5%;ASPEN;005541;05909990131617;N01BB
MESTINON;MEDA;005705;05909991014421;N07AA
CEFAZOLIN HOSPIRA;HOSPIRA;004640;05909991185459;J01DB
KORA D BU;FLOS;004754;05909994311763;D03AX
KORZE— MYDLNICY;FLOS;004795;05906365702748;V07AT
MYDOCALM FORTE;AVRENTIM/GEDEON RICHTER;006006;05909997200392;M03BX
NACLOF;THEA;006048;05909990145317;S01BC
NASIVIN 0,05%;MERCK;006155;05909990108510;R01AA
NICOTINELL TTS 30;NOVARTIS;006348;05909990622436;N07BA
NITROFURAZON;UNIA;006402;05909990174010;D08AF
THEALOZ DUO GEL;THEA;006556;03662042002830;S01XA
M-KLYX;FERRING;005040;05909990959969;A06AA
LEKOPTIN RETARD;1A PHARMA;005076;05909990307814;C08DA
LERIVON;MERCK SHARP & DOHME;005089;05909990157716;N06AX
LECITHIN NERVEN TONICUM;ROCHE;005049;05909990097425;A13A
LI∂∆ MI TY PIEPRZOWEJ;HERBALUX;005265;05909994357013;A16AX
LOFENALAC;TEVA KUTNO;005345;05909990126415;V06CA
LI∂∆ M•CZNICY;FLOS;005238;05909994309425;G04BX
MAGNEZIN COMFORT;GEDEON RICHTER POLSKA;005474;05907594030800;A12CC
MAGNEVIT;VIS;005490;05909990186020;A11JB
OVESTIN;INPHARM/ASPEN;006681;05909997066110;G03CA
PILOGEL;ALCON;007156;05909990029013;S01EB
POLMESILAT;BIOGENED;007374;05909990270415;M03BX
CANBIOX;FORFARM/APOTEX;002984;05909991248185;J01FA
FELORAN;PHARMACIA-AD;003144;05909990141418;M01AB
BIOFIBRAT;BIOFARM;003176;05909990866502;C10AB
MELISANA KLOSTERFRAU;KLOSTERFRAU;005656;05909990046126;N05CX
LINDYNETTE;GEDEON RICHTER POLSKA;005874;05909990911165;G03AA
MA∂∆ CHOLESTEROLOWA;PAMPA;006035;05909991372286;V07AY
NATRIUM CHLORATUM 0,9%;BAXTER MANUFACTURING;006173;05909990320011;B05XA
NEO-ANGIN WI∂NIA;DIVAPHARMA;006248;05909990841646;R02AA
NICORETTE CLASSIC GUM;MCNEIL;006338;05909990334827;N07BA
NIFEDIPINE;GEDEON RICHTER POLSKA;006364;05909990109715;C08CA
IVABRADINE CHANELLE MEDICAL;CHANELLE MEDICAL;006761;05909991313654;C01EB
OESTROFEMINAL 1,25 MG;MACK;006763;05909990278817;G03CA
OESTROFEMINAL 0,3 MG;MACK;006765;05909990304318;G03CA
PEFLOKSACYNA RICHTER;GEDEON RICHTER POLSKA;007013;05909990050017;J01MA
PROPRANOLOL ACCORD;ACCORD HEALTHCARE;007585;05909991033507;C07AA
DEPO-PROVERA;PRETIUM FARM/PFIZER;007645;05902023773242;G03AC
RE-ALGIN;SOPHARMA;007710;05909990984664;N02BB
REPARIL-GEL N;INPHARM/MEDA;007885;05909997204000;C05CA
SPIRONOL;GEDEON RICHTER POLSKA;008586;05909990110223;C03DA
SUCCUS BARDANAE;PHYTOPHARM KL KA;008727;05909990062614;A05AX
SUCCUS BETULAE;PHYTOPHARM KL KA;008730;05909990062713;C03BX
KWAS SALICYLOWY;PAMPA;000098;05909990086689;D02AF
INJ. POLOCAINI HYDROCHLORICI 1%;POLPHARMA;007377;05909990334919;N01BA
INJ. POLOCAINI HYDROCHLORICI 1% POLPHARMA;POLPHARMA;007378;05909990334926;N01BA
PROTAMINUM SULFURICUM 2%;UNIA;007634;05909990239917;A01AD
AKSODERM;GEMI;000232;05909990285211;D10AD
ALUMAG;GEDEON RICHTER POLSKA;000377;05909990191413;A02AD
ALUMAG;GEDEON RICHTER POLSKA;000378;05909990248711;A02AD
PULMEX;NOVARTIS;007682;05909990252817;R05X
PYRALGINUM;POLPHARMA;007714;05909990329014;N02BB
RANIGAST;POLPHARMA;007780;05909990206728;A02BA
RAPIFEN;JANSSEN-CILAG;007797;05909990128020;N01AH
REMESTYP;FERRING-LECIVA;007872;05909990099917;H01BA
RETIAZID FORTE;POLPHARMA;007901;05909990263813;C02LA
PASTA CYNKOWA Z KWASEM SALICYLOWYM;AFLOFARM;005556;05909990212279;D11AX
VITA GAL WITAMINY DLA DOROS£YCH;GAL;005609;05907501110717;A11AA
MEPIDONT 2% Z ADRENALIN• 1:100000;MOLTENI;005691;05909990220229;N01BB
SMILLA;GEDEON RICHTER POLSKA;000588;05909991307677;G03AA
PROPRANOLOL ACCORD;ACCORD HEALTHCARE;000771;05909991033620;C07AA
AMLODIPINE SOPHARMA;SOPHARMA;000797;05909991317768;C08CA
LERCAN;RECORDATI;000760;05391519921166;C08CA
ARECHIN;POLFA PABIANICE;000842;05909990061914;P01BA
ARMANOR;SERVIER;000848;05909990311811;R07AB
FERRUM LEK;SANDOZ;003202;05909990192113;B03AC
FLUOSSEN;ICN POLFA RZESZ”W;003352;05909990340217;A12CD
INJECTIO GLUCOSI 10% BAXTER;BAXTER;003694;05909990784677;B05BA
AMLODIPINE SOPHARMA;SOPHARMA;000799;05909991317805;C08CA
AQUA PRO INJECTIONE;BAXTER MANUFACTURING;000811;05909990297818;V07AB
BETADINE;INPHARM/EGIS;001194;05909997218366;D08AG
BETAMANN;MANN;001208;05909990323616;S01ED
BIOSTYMINA;PHYTOPHARM KL KA;001298;05909990008117;L03AX
BORACELLE 500 MG;BIO-OIL;001385;05909990674114;C10AX
METINDOL RETARD;PHARMASWISS;005752;05909990167524;M01AB
METOPROLOL VP;PHARMASWISS;005761;05909990141128;C07AB
AUTOSTRZYKAWKA MORFINA PRZECIWKO B”LOWI;RAVIMED;005939;05909991096922;N02AA
DOXAZOSIN GENOPTIM;SYNOPTIS;003834;05909991288778;C02CA
HYDIPHEN;AWD.PHARMA;004181;05909990240616;N06AA
ROZTW”R GLUKOZY 10% BAXTER;BAXTER;004330;05909990190140;B05BA
MYDOCALM;INPHARM/GEDEON RICHTER;006021;05909997010519;M03BX
NEFROL;HERBAPOL KRAK”W;006237;05909990021710;G04BX
NEULEPTIL;SPECIA;006311;05909990098415;N05AC
BRONCHOPRONT;MACK;001450;05909990181315;R05CB
CALCIUM;SENSILAB POLSKA;001517;05909990258123;A12AA
CELESTONE;MERCK SHARP & DOHME;001668;05909990121410;H02AB
EXMO;ACTAVIS;006347;05909991055363;N07BA
AMLODIPINE MEDREG;MEDREG;006351;05909991212476;C08CA
AMLODIPINE MEDREG;MEDREG;006353;05909991212551;C08CA
NITRAZEPAM GSK;GLAXOSMITHKLINE, POZNA—;006385;05909990148912;N05CD
TIMLATAN;PHARMASWISS;006562;05909990919536;S01ED
INJECTIO GLUCOSI 5% ET NATRII CHLORATI 0,9% 2:1 BAXTER;BAXTER;004348;05909990190430;B05BB
KALIUM GUAJACOLOSULFONICUM;GALENA;004603;05909990154418;R05CA
MULTI-VITA + 10 VITAMINE;HIRSCH;004684;04053900012105;A11EB
OLEJ KAMFOROWY AFLOFARM;AFLOFARM;006570;05909990018758;M02AX
OLICARD 40 RETARD;MYLAN HEALTHCARE;006596;05909990059782;C01DA
OMNADREN 250;PHARMASWISS;006612;05909990319312;G03BA
SEPTALAN;CHEMA-ELEKTROMET;008334;05909990267910;D03AX
HIRUDOID;DELFARMA/STADA;000192;05909991320843;C05BA
AQUA PRO INJECTIONE POLPHARMA;POLPHARMA;000808;05909990248247;V07AB
AQUA PRO INJECTIONE;POLPHARMA;000816;05909990248216;V07AB
ASCODAN;POLPHARMA;000888;05909990134816;N02AJ
ASPIMAG;ESPEFA;000916;05909990011612;B01AC
RODZINA ZDROWIA KOPER W£OSKI;SILESIAN PHARMA;006714;05905279513396;A03AX
PIROXICAM 10;GLAXOSMITHKLINE, POZNA—;007200;05909990143412;M01AC
DEBRIDAT;DELFARMA/PFIZER;000358;05909997208930;A03AA
LAKTOZA JEDNOWODNA;AMARA;004998;05909990694273;V07AY
DOXAZOSIN GENOPTIM;SYNOPTIS;000188;05909991288952;C02CA
AMINOMEL 12,5 E;BAXTER;000420;05909990261925;B05BA
BECLOMET;ORION;001093;05909990145713;R03BA
BETOPTIC S;ALCON;001213;05909990186518;S01ED
BIOFUROKSYM;POLPHARMA;001270;05909990059515;J01DC
DOSPAX;PHARMASWISS;000361;03830070740042;A03AD
AMPICILLIN;ZAO BRINSALOV;000505;05909990364510;J01CA
ARGOSULFAN;PHARMASWISS;000847;05909990237326;D06BA
TIGECYCLINE SANDOZ;SANDOZ;000499;05907626708080;J01AA
ANCOTIL;ICN POLFA RZESZ”W;000580;05909990335817;J02AX
ANTYTOKSYNA T ØCOWA KO—SKA LIOFILIZOWANA;BIOMED WARSZAWA;000669;05909990053315;J06AA
DAMLOC;S-LAB;001084;05909991261382;C08CA
DAMLOC;S-LAB;001085;05909991261399;C08CA
BERODUAL;GLAXOSMITHKLINE, POZNA—;001174;05909990054114;R03AL
BIOTRAKSON;POLPHARMA;001300;05909990079612;J01DD
BORAGOGLANDYNA 100;BETULAND;001387;05909990191314;C10AX
CARIDENT;CHEMA-ELEKTROMET;001628;05909990237418;A01AB
BIOVITAL;ROCHE;001306;05909990276639;A11EX
BIOVITAL DRAGEE 33;ROCHE;001307;05909990101023;B03AE
CALCIUM PANTOTHENICUM JELFA;PHARMASWISS;001537;05909990107513;A11HA
CLOPIXOL DEPOT;LUNDBECK;001928;05909990189212;N05AF
COCARBOXYLASUM;POLPHARMA;001946;05909990338412;A11DA
DEXADENT;CHEMA-ELEKTROMET;002400;05909991001919;A01AC
APHTIN;LABORATORIUM GALENOWE CEFARM LUBLIN;000687;05909990200016;A01AB
APO-AMOXI 500;APOTEX;000718;05909990237029;J01CA
APO-DICLO 50;APOTEX;000736;05909990176342;M01AB
CHLORCHINALDIN VP;PHARMASWISS;001753;05909990231713;R02AA
CHLORSUCCILLIN;PHARMASWISS;001782;05909990107612;M03AB
CLOPAMID VP;PHARMASWISS;001920;05909990141012;C03BA
PYRALGINA;POLPHARMA;002555;05903060605312;N02BB
DOPEGYT;DELFARMA/EGIS;002660;05909997221779;C02AB
EFEROX 100;HEXAL;002806;05909990108916;H03AA
CLOTRIMAZOLUM GSK;GLAXOSMITHKLINE, POZNA—;001941;05909990148011;G01AF
COCARBOXYLASUM JELFA;PHARMASWISS;001945;05909990330515;A11DA
KODEINY FOSFORAN P”£WODNY;GALFARM KRAK”W;001957;05909991280185;R05DA
ENARENAL;POLPHARMA;002912;05909990015023;C09AA
ACIFUNGIN;UNIA;000101;05909990238910;D01AE
ACIFUNGIN FORTE;UNIA;000102;05909990239016;D01AE
DERMATOL AFLOFARM;AFLOFARM;002341;05909994391314;D11AX
DICLOREUM RETARD;ALFASIGMA;002470;05909990041121;M01AB
DIHYDROERGOTAMINUM TARTARICUM;FILOFARM;002507;05909990211111;N02CA
ADIURETIN;FERRING-LECIVA;000179;05909990099719;H01BA
ALANTAN;UNIA;000237;05909990239221;D03AX
ANTALV;CHEMA-ELEKTROMET;000604;05909990095810;A01AD
INNOVATE;BIOMED LUBLIN;000130;05909991029289;B02BD
ALDESAN E;SEPTOMA;000296;05900748028012;V07AV
ALOE VERA 10000;POWER HEALTH;000347;05013007011202;A02X
APO-NAPROXEN 250;APOTEX;000758;05909990265152;M01AE
APO-RANITIDINE 150;APOTEX;000775;05909990305124;A02BA
CONCOR 5;FORFARM/MERCK;000781;05909997200613;C07AB
APHTIN AFLOFARM;AFLOFARM;000685;05909990271412;A01AB
ATIOPRIN;PHARMASWISS;001001;05909991270476;L04AX
BECLOCORT MITE;GLAXOSMITHKLINE, POZNA—;001091;05909990147519;R03BA
AQUA PRO INJECTIONE;POLPHARMA;000810;05909990248223;V07AB
BETADINE;PRETIUM FARM/EGIS;001201;05902023773129;D08AG
BILOCOL;POLPHARMA;001233;05909990205219;A05AB
BIOVITAL;ROCHE;001304;05909990276646;A11EX
CARBO W GIEL AKTYWNY;EXIM PHARMA;001598;05906874654040;A07BA
CHOLESTEROL 2;HERBAVIS;001805;05901549598254;C05CX
BIOTAKSYM;POLPHARMA;001299;05909990059317;J01DD
BIOTUM;POLPHARMA;001301;05909990059218;J01DD
BSS;ALCON;001460;05909990291816;S01XA
ACODIN 150 JUNIOR;SANOFI-AVENTIS;000117;05909990031610;R05DA
ALBUMIN HUMAN SALZARM;OCTAPHARMA;000260;05909990240319;B05AA
OCTAPLASLG;OCTAPHARMA;000276;05909991248550;B05AA
AUGMENTIN SR;GLAXOSMITHKLINE;000487;05909991139834;J01CR
ARGENTUM NITRICUM CUM KALIO NITRICO;ICN POLFA RZESZ”W;000844;05903546002789;D08AL
BIOGLOBULINA;BIOMED WARSZAWA;001273;05909990061617;J06BA
BIOMAG;SANOFI-AVENTIS, RZESZ”W;001286;05909990159017;A12CC
BSS PLUS;ALCON;001464;05909990294527;S01KX
CHLORPROPAMID;POLPHARMA;001778;05909990205318;A10BB
NEOPARIN;SCIENCEPHARMA;001897;05906395161010;B01AB
CLOTRIMAZOLUM GSK;GLAXOSMITHKLINE, POZNA—;001934;05909990354917;D01AC
KODEINY FOSFORAN P”£WODNY;GALFARM KRAK”W;001955;05909991280246;R05DA
COFFECORN FORTE;FILOFARM;001961;05909990320110;N02CA
NEOPARIN;SCIENCEPHARMA;001900;05906395161034;B01AB
CLOPIXOL DEPOT;LUNDBECK;001929;05909990189229;N05AF
CORDAFEN;POLPHARMA;002056;05909990077519;C08CA
CORTINEFF OPHTALM. 0,1%;PHARMASWISS;002098;05909990104918;S01BA
DERMAKNEL;GLAXOSMITHKLINE, POZNA—;002339;05909990257416;D10AB
DICUNO;VITABALANS;002463;05909990937431;M01AB
BROMERGON;SANDOZ;001426;05909990173013;G02CB
BUER KINDER VITAMINE + EISEN + CALCIUM;ALTANA;001468;05909990179312;A11AA
CALCIUM;ICN POLFA RZESZ”W;001515;05909990166718;A12AA
CALCIUM SANDOZ + VITAMIN C;SANDOZ;001549;05909990252411;A12AX
CIGNODERM 0,1;SANOFI-AVENTIS, RZESZ”W;001826;05909990232918;D05AC
LANOLINA;AMARA;005017;05909990056958;V07AY
LI∂∆ ORTOSYFONU GRONIASTEGO;HERBA STUDIO;005272;05909990017911;C03BX
APTEONATURA POKRZYWA;SYNOPTIS;005290;05907553013233;C03BX
MAGNEZU SIARCZAN WYSUSZONY;AMARA;005480;05909990619801;A06AD
MANDOL;ELI LILLY;005527;05909990082513;J01DC
MA∂∆ MAJERANKOWA;AVENA;005567;05909994358119;R01AX
MA∂∆ NAGIETKOWA ZIAJA;ZIAJA;005574;05901887033042;D03AX
APTEONATURA MI TA;SYNOPTIS;005671;05907553013141;A16AX
MENTHO-PARAFFINOL;LABORATORIUM GALENOWE CEFARM LUBLIN;005680;05909990200214;A06AA
METYLU SALICYLAN;AMARA;005744;05901315021337;M02AC
METYLU SALICYLAN;AMARA;005745;05901315021344;M02AC
MITOXANTRONE BAXTER;BAXTER;005898;05909990107124;L01DB
SODU CHLOREK 0,9% BAXTER;BAXTER;006184;05909990191147;B05XA
NATRIUM FLUORATUM;ICN POLFA RZESZ”W;006200;05909990330218;A01AA
NITROGLYCERINUM PROLONGATUM;LEK, STRYK”W;006408;05909990427512;C01DA
OMEGAMAX;VERCO;006608;05906716507749;C10AX
DICLOREUM;ALFASIGMA;002468;05909990169719;M01AB
DIHYDROERGOTAMINUM FILOFARM;FILOFARM;002506;05909990211418;N02CA
DISTREPTAZA;BIOMED LUBLIN;002576;05909990021116;B01AD
PARAFINA CIEK£A;ELISSA;006934;05909990781560;A06AA
PARAFINA CIEK£A;ZIAJA;006940;05901887106845;A06AA
PARAFINA CIEK£A;INFARM GDYNIA;006944;05909994328723;A06AA
RODZINA ZDROWIA WIESIO£EK;SILESIAN PHARMA;003072;05902666650696;C10AX
GASTROTROMBINA 10000;BIOMED LUBLIN;003565;05909990019311;B02BC
GLUCOSUM 10% FRESENIUS;FRESENIUS KABI POLSKA;003702;05909991017972;B05BA
HUMAN ALBUMIN CSL BEHRING 200 G/L;CSL BEHRING;000275;05909991192495;B05AA
ANALGOLAN;PROFARM;000538;05909990270217;M02AC
ANALUX;ALCON CUSI;000552;05909990051618;S01GA
ASPIRIN;BAYER;000920;05909990192632;N02BA
ATROPINUM SULFURICUM WZF;POLFA WARSZAWA;000955;05909990860111;A03BA
AWIROL;INSTYTUT FARMACEUTYCZNY;000989;05909990062218;D06BB
TRIMESOLPHAR;POLFA WARSZAWA;001038;05909990108619;J01EE
BAYPEN;BAYER;001076;05909990088218;J01CA
BELODERM;BELUPO;001117;05909991134013;D07AC
BELODERM;BELUPO;001119;05909991134112;D07AC
BENZACNE;HERBAPOL POZNA—;001140;05909990219810;D10AE
BONEFOS;BAYER;001381;05909990029815;M05BA
CIPROBAY 500;BAYER;001862;05909990090013;J01MA
CLARITINE;BAYER;001886;05909990121526;R06AX
KOFEINA;PHARMA-COSMETIC;001969;05909990894437;N06BC
CUSIMOLOL 0,25%;ALCON CUSI;002132;05909990187614;S01ED
CYCLO-MENORETTE;WYETH;002138;05909990020614;G03FB
CYCLOPLATIN 50;PLIVA-LACHEMA;002151;05909990297320;L01XA
DECALDOL;POLFA WARSZAWA;002257;05909990077311;N05AD
DECALDOL;POLFA WARSZAWA;002258;05909990077328;N05AD
MIESZANKI APTECZNE - DIABETOSAN;HERBAPOL £”Dè;002428;05909990009114;A10BX
BELOGENT;BELUPO;002536;05909991134426;D07CC
ECHINACEA-RATIOPHARM;RATIOPHARM;002787;05909990013111;R05X
HAEMATE P 1000;CSL BEHRING;003106;05909990937776;B02BD
GEVILON;POLFA WARSZAWA;003637;05909990038015;C10AB
GLUCOBAY 50;BAYER;003677;05909990285419;A10BF
GLUKOZA JEDNOWODNA;PHARMA-COSMETIC;003744;05909990813063;V06DC
HALOPERIDOL WZF;POLFA WARSZAWA;003874;05909990302918;N05AD
HOMEODOSE 4;BOIRON;004108;05909996379310;V03AX
HYDROKORTYZON;PHARMA-COSMETIC;004189;05909990709151;H02BX
HIZENTRA;CSL BEHRING;004273;05909990869671;J06BA
LIGNOCAINUM HYDROCHLORICUM WZF 1%;POLFA WARSZAWA;005131;05909990038312;N01BB
LIGNOCAINUM HYDROCHLORICUM 2%;POLFA WARSZAWA;005133;05909990038428;N01BB
LI∂∆ SENESU PHYTOPHARM;PHYTOPHARM DOBRZYCA;005322;05909990052486;A06AB
LOMUSOL;FISONS;005350;05909990171613;R01AC
MAGNEVIST;BAYER;005489;05909990060245;V08CA
METHOTREXAT;PLIVA-LACHEMA;005730;05909990124114;L04AX
MINIDIAB;PHARMACIA;005863;05909990146017;A10BB
MOLSIDOMINA;POLFA WARSZAWA;005914;05909990111916;C01DX
MONOTARD MC;NOVO NORDISK;005927;05909990238613;A10AE
MUCOSIT;HERBAPOL POZNA—;005960;05909990047710;A01AD
NALCROM;FISONS;006063;05909990360017;A07EB
NIMOTOP S;BAYER;006375;05909990255436;C08CA
OCUFLUR;ALLERGAN;006526;05909990657513;S01BC
OLEJ KAMFOROWY LABORATORIUM GALENOWE OLSZTYN;LABORATORIUM GALENOWE OLSZTYN;006583;05909994303911;M02AX
OLEJEK TERPENTYNOWY;PHARMA-COSMETIC;006591;05909990653225;M02AX
OLEJEK TERPENTYNOWY;PHARMA-COSMETIC;006592;05909994419919;M02AX
OPTICROM;FISONS;006640;05909990361021;S01GX
PAPAVERINUM HYDROCHLORICUM WZF;POLFA WARSZAWA;006907;05909990243815;A03AD
PENTAZOCINUM WZF;POLFA WARSZAWA;007036;05909990351510;N02AD
PHENAZOLINUM;POLFA WARSZAWA;007126;05909990093427;R06AX
PHOSPHOR;HERBAPOL £”Dº;007141;05909990305711;A12CX
DILORYM 25 MG + 7,5 MG;EGIS;007417;05909991325008;C07FX
PROSZEK TROISTY LABORATORIUM GALENOWE OLSZTYN;LABORATORIUM GALENOWE OLSZTYN;007627;05909994304734;A06AX
RUTOVEN;HERBAPOL POZNA—;008100;05909990074211;C05CA
KWAS SALICYLOWY;PHARMA-COSMETIC;000074;05909990728633;D02AF
ADALAT PRO INFUSIONE;BAYER;000148;05909990364916;C08CA
ADALAT;BAYER;000149;05909990255023;C08CA
ADALAT;BAYER;000151;05909990255016;C08CA
ADALAT RETARD;BAYER;000157;05909990255122;C08CA
ALTRA;HERBAPOL POZNA—;000367;05909990006120;A06AX
ANDROCUR;BAYER;000589;05909990657483;G03HA
BERIATE;CSL BEHRING;000628;05909991213688;B02BD
ATREDERM 0,025%;TEVA;000951;05909990231010;D10AD
AZULAN;HERBAPOL WROC£AW;001017;05909990007936;D03AX
BABY ORAJEL;HAND-PROD;001031;05909990134113;A01AD
OPTIVATE;BIO PRODUCTS LABORATORY;001165;05909991228323;B02BD
BIMANOL;POLFA PABIANICE;001236;05909990132416;N06BX
FLEGAMINA O SMAKU MI TOWYM BEZ CUKRU;TEVA;001334;05909990881970;R05CB
BRAUNOL;BRAUN;001398;05909990852765;D08AG
CARDIOXANE;CLINIGEN HEALTHCARE;001622;05909990169917;V03AF
CECLOR;TEVA;001654;05909990086412;J01DC
DOXAZOSIN AUROVITAS;AUROVITAS;002087;05909991305307;C02CA
DIAPREL;SERVIER;002442;05909990318612;A10BB
DUOMOX;ASTELLAS;002732;05909990063116;J01CA
EFFORTIL;INPHARM/BOEHRINGER INGELHEIM;002816;05909997232676;C01CA
SORBIFER DURULES;MODUMPHARMA/EGIS;002828;05902838940488;B03AE
ASMAG FORTE;FARMAPOL;000905;05909990263011;A12CC
ASTMOPENT;POLFA WARSZAWA;000938;05909990346622;R03CB
BEPANTHEN;BAYER;001155;05909990030316;D03AX
FLEGAMINA BABY;TEVA;003288;05909990114214;R05CB
GENTAMICIN;LEK;003597;05909990067312;J01GB
GLUKOZA 40 BRAUN;BRAUN;003682;05909990247615;B05BA
BLOCALCIN 60;PLIVA-LACHEMA;001366;05909990123117;C08DB
CALCIUM CHLORATUM WZF 10%;POLFA WARSZAWA;001519;05909990477111;A12AA
CAPSIPLEX;HERBAPOL POZNA—;001584;05909990080014;M02AB
HERBATA OWOCOWA RUBINOWA;HERBAPOL WROC£AW;004030;05906014210600;V06DX
GANCICLOVIR MYLAN;MYLAN;004057;05909991367282;J05AB
BENDAMUSTINE KABI;FRESENIUS KABI;004100;05909991296179;L01AA
HYDROCORTISONUM HEMISUCCINATUM;JELFA;004195;05909990105212;H02AB
HYDROXYCARBAMID TEVA;TEVA;004201;05909990231218;L01XX
HYGROTON;AMDIPHARM;004207;05909990118717;C03BA
GLUCOSUM 10%;TEVA KRAK”W;004316;05909990203314;B05BA
GLUCOSUM TEVA;TEVA;004320;05909990249411;B05BA
POTASSIUM CHLORIDE 0,3% + GLUCOSE 5% B. BRAUN;BRAUN;004347;05909991017538;B05BB
INTRALIPID 20%;FRESENIUS KABI;004450;05909990271924;B05BA
ACENOL CUM COFFEINO;GALENA;000057;05909990140312;N02BE
DIONINA;AMARA;000204;05909991190415;R05DA
AMINOMEL 10 E;BAXTER;000419;05909990261819;B05BA
ANTYTOKSYNA T ØCOWA KO—SKA;BIOMED WARSZAWA;000666;05909990053414;J06AA
ANTYTOKSYNA T ØCOWA KO—SKA;BIOMED WARSZAWA;000667;05909990053216;J06AA
APO-AMOXI 250;APOTEX;000716;05909990236923;J01CA
APO-ATENOL 50;APOTEX;000720;05909990176137;C07AB
APO-DICLO 25;APOTEX;000734;05909990176748;M01AB
BILIEPAR;INSTITUTO BIOTERAPICO NAZIONALE;001224;05909990299416;A05AA
DICLAC 150 DUO;INPHARM/SANDOZ;002461;05909997199627;M01AB
AMOTAKS DIS;POLFA TARCHOMIN;003294;05909991089139;J01CA
HUMAN ALBUMIN 20%;BIOTEST;004144;05909990213511;B05AA
APTEO MULTIWITAMINA;SYNOPTIS;001310;05907553013868;A11EX
BUERLECITHIN;ALTANA;001472;05909990179442;A13A
BUERLECITHIN;ALTANA;001473;05909990179411;A13A
INSULINUM SEMILENTE WO-S ALTO DEPURATUM;POLFA TARCHOMIN;004410;05909990339914;A10AC
LACTACYD FEMINA - DELIKATNA EMULSJA DO CODZIENNEJ HIGIENY INTYMNEJ;OMEGA PHARMA;004979;05391520946882;V07AT
HYDROCORTISONUM OCEANIC;OCEANIC;005331;05909990721634;D07AA
LYMPHOMYOSOT HEEL;HEEL;005421;05909990882434;V03AX
CLOTRIMAZOLUM US PHARMACIA;US PHARMACIA;005807;05909990407811;D01AC
MULTI-SANOSTOL;TAKEDA;005975;05909990035229;A11AA
MYDOCALM FORTE;ICHEM/GEDEON RICHTER;006008;05909997197746;M03BX
